Year,Month,Gas Data
1956,Jan,1709
1956,Feb,1646
1956,Mar,1794
1956,Apr,1878
1956,May,2173
1956,Jun,2321
1956,Jul,2468
1956,Aug,2416
1956,Sep,2184
1956,Oct,2121
1956,Nov,1962
1956,Dec,1825
1957,Jan,1751
1957,Feb,1688
1957,Mar,1920
1957,Apr,1941
1957,May,2311
1957,Jun,2279
1957,Jul,2638
1957,Aug,2448
1957,Sep,2279
1957,Oct,2163
1957,Nov,1941
1957,Dec,1878
1958,Jan,1773
1958,Feb,1688
1958,Mar,1783
1958,Apr,1984
1958,May,2290
1958,Jun,2511
1958,Jul,2712
1958,Aug,2522
1958,Sep,2342
1958,Oct,2195
1958,Nov,1931
1958,Dec,1910
1959,Jan,1730
1959,Feb,1688
1959,Mar,1899
1959,Apr,1994
1959,May,2342
1959,Jun,2553
1959,Jul,2712
1959,Aug,2627
1959,Sep,2363
1959,Oct,2311
1959,Nov,2026
1959,Dec,1910
1960,Jan,1762
1960,Feb,1815
1960,Mar,2005
1960,Apr,2089
1960,May,2617
1960,Jun,2828
1960,Jul,2965
1960,Aug,2891
1960,Sep,2532
1960,Oct,2363
1960,Nov,2216
1960,Dec,2026
1961,Jan,1804
1961,Feb,1773
1961,Mar,2015
1961,Apr,2089
1961,May,2627
1961,Jun,2712
1961,Jul,3007
1961,Aug,2880
1961,Sep,2490
1961,Oct,2237
1961,Nov,2205
1961,Dec,1984
1962,Jan,1868
1962,Feb,1815
1962,Mar,2047
1962,Apr,2142
1962,May,2743
1962,Jun,2775
1962,Jul,3028
1962,Aug,2965
1962,Sep,2501
1962,Oct,2501
1962,Nov,2131
1962,Dec,2015
1963,Jan,1910
1963,Feb,1868
1963,Mar,2121
1963,Apr,2268
1963,May,2690
1963,Jun,2933
1963,Jul,3218
1963,Aug,3028
1963,Sep,2659
1963,Oct,2406
1963,Nov,2258
1963,Dec,2057
1964,Jan,1889
1964,Feb,1984
1964,Mar,2110
1964,Apr,2311
1964,May,2785
1964,Jun,3039
1964,Jul,3229
1964,Aug,3070
1964,Sep,2659
1964,Oct,2543
1964,Nov,2237
1964,Dec,2142
1965,Jan,1962
1965,Feb,1910
1965,Mar,2216
1965,Apr,2437
1965,May,2817
1965,Jun,3123
1965,Jul,3345
1965,Aug,3112
1965,Sep,2659
1965,Oct,2469
1965,Nov,2332
1965,Dec,2110
1966,Jan,1910
1966,Feb,1941
1966,Mar,2216
1966,Apr,2342
1966,May,2923
1966,Jun,3229
1966,Jul,3513
1966,Aug,3355
1966,Sep,2849
1966,Oct,2680
1966,Nov,2395
1966,Dec,2205
1967,Jan,1994
1967,Feb,1952
1967,Mar,2290
1967,Apr,2395
1967,May,2965
1967,Jun,3239
1967,Jul,3608
1967,Aug,3524
1967,Sep,3018
1967,Oct,2648
1967,Nov,2363
1967,Dec,2247
1968,Jan,1994
1968,Feb,1941
1968,Mar,2258
1968,Apr,2332
1968,May,3323
1968,Jun,3608
1968,Jul,3957
1968,Aug,3672
1968,Sep,3155
1968,Oct,2933
1968,Nov,2585
1968,Dec,2384
1969,Jan,2057
1969,Feb,2100
1969,Mar,2458
1969,Apr,2638
1969,May,3292
1969,Jun,3724
1969,Jul,4652
1969,Aug,4379
1969,Sep,4231
1969,Oct,3756
1969,Nov,3429
1969,Dec,3461
1970,Jan,3345
1970,Feb,4220
1970,Mar,4874
1970,Apr,5064
1970,May,5951
1970,Jun,6774
1970,Jul,7997
1970,Aug,7523
1970,Sep,7438
1970,Oct,6879
1970,Nov,6489
1970,Dec,6288
1971,Jan,5919
1971,Feb,6183
1971,Mar,6594
1971,Apr,6489
1971,May,8040
1971,Jun,9715
1971,Jul,9714
1971,Aug,9756
1971,Sep,8595
1971,Oct,7861
1971,Nov,7753
1971,Dec,8154
1972,Jan,7778
1972,Feb,7402
1972,Mar,8903
1972,Apr,9742
1972,May,11372
1972,Jun,12741
1972,Jul,13733
1972,Aug,13691
1972,Sep,12239
1972,Oct,12502
1972,Nov,11241
1972,Dec,10829
1973,Jan,11569
1973,Feb,10397
1973,Mar,12493
1973,Apr,11962
1973,May,13974
1973,Jun,14945
1973,Jul,16805
1973,Aug,16587
1973,Sep,14225
1973,Oct,14157
1973,Nov,13016
1973,Dec,12253
1974,Jan,11704
1974,Feb,12275
1974,Mar,13695
1974,Apr,14082
1974,May,16555
1974,Jun,17339
1974,Jul,17777
1974,Aug,17592
1974,Sep,16194
1974,Oct,15336
1974,Nov,14208
1974,Dec,13116
1975,Jan,12354
1975,Feb,12682
1975,Mar,14141
1975,Apr,14989
1975,May,16159
1975,Jun,18276
1975,Jul,19157
1975,Aug,18737
1975,Sep,17109
1975,Oct,17094
1975,Nov,15418
1975,Dec,14312
1976,Jan,13260
1976,Feb,14990
1976,Mar,15975
1976,Apr,16770
1976,May,19819
1976,Jun,20983
1976,Jul,22001
1976,Aug,22337
1976,Sep,20750
1976,Oct,19969
1976,Nov,17293
1976,Dec,16498
1977,Jan,15117
1977,Feb,16058
1977,Mar,18137
1977,Apr,18471
1977,May,21398
1977,Jun,23854
1977,Jul,26025
1977,Aug,25479
1977,Sep,22804
1977,Oct,19619
1977,Nov,19627
1977,Dec,18488
1978,Jan,17243
1978,Feb,18284
1978,Mar,20226
1978,Apr,20903
1978,May,23768
1978,Jun,26323
1978,Jul,28038
1978,Aug,26776
1978,Sep,22886
1978,Oct,22813
1978,Nov,22404
1978,Dec,19795
1979,Jan,18839
1979,Feb,18892
1979,Mar,20823
1979,Apr,22212
1979,May,25076
1979,Jun,26884
1979,Jul,30611
1979,Aug,30228
1979,Sep,26762
1979,Oct,25885
1979,Nov,23328
1979,Dec,21930
1980,Jan,21433
1980,Feb,22369
1980,Mar,24503
1980,Apr,25905
1980,May,30605
1980,Jun,34984
1980,Jul,37060
1980,Aug,34502
1980,Sep,31793
1980,Oct,29275
1980,Nov,28305
1980,Dec,25248
1981,Jan,27730
1981,Feb,27424
1981,Mar,32684
1981,Apr,31366
1981,May,37459
1981,Jun,41060
1981,Jul,43558
1981,Aug,42398
1981,Sep,33827
1981,Oct,34962
1981,Nov,33480
1981,Dec,32445
1982,Jan,30715
1982,Feb,30400
1982,Mar,31451
1982,Apr,31306
1982,May,40592
1982,Jun,44133
1982,Jul,47387
1982,Aug,41310
1982,Sep,37913
1982,Oct,34355
1982,Nov,34607
1982,Dec,28729
1983,Jan,26138
1983,Feb,30745
1983,Mar,35018
1983,Apr,34549
1983,May,40980
1983,Jun,42869
1983,Jul,45022
1983,Aug,40387
1983,Sep,38180
1983,Oct,38608
1983,Nov,35308
1983,Dec,30234
1984,Jan,28801
1984,Feb,33034
1984,Mar,35294
1984,Apr,33181
1984,May,40797
1984,Jun,42355
1984,Jul,46098
1984,Aug,42430
1984,Sep,41851
1984,Oct,39331
1984,Nov,37328
1984,Dec,34514
1985,Jan,32494
1985,Feb,33308
1985,Mar,36805
1985,Apr,34221
1985,May,41020
1985,Jun,44350
1985,Jul,46173
1985,Aug,44435
1985,Sep,40943
1985,Oct,39269
1985,Nov,35901
1985,Dec,32142
1986,Jan,31239
1986,Feb,32261
1986,Mar,34951
1986,Apr,38109
1986,May,43168
1986,Jun,45547
1986,Jul,49568
1986,Aug,45387
1986,Sep,41805
1986,Oct,41281
1986,Nov,36068
1986,Dec,34879
1987,Jan,32791
1987,Feb,34206
1987,Mar,39128
1987,Apr,40249
1987,May,43519
1987,Jun,46137
1987,Jul,56709
1987,Aug,52306
1987,Sep,49397
1987,Oct,45500
1987,Nov,39857
1987,Dec,37958
1988,Jan,35567
1988,Feb,37696
1988,Mar,42319
1988,Apr,39137
1988,May,47062
1988,Jun,50610
1988,Jul,54457
1988,Aug,54435
1988,Sep,48516
1988,Oct,43225
1988,Nov,42155
1988,Dec,39995
1989,Jan,37541
1989,Feb,37277
1989,Mar,41778
1989,Apr,41666
1989,May,49616
1989,Jun,57793
1989,Jul,61884
1989,Aug,62400
1989,Sep,50820
1989,Oct,51116
1989,Nov,45731
1989,Dec,42528
1990,Jan,40459
1990,Feb,40295
1990,Mar,44147
1990,Apr,42697
1990,May,52561
1990,Jun,56572
1990,Jul,56858
1990,Aug,58363
1990,Sep,45627
1990,Oct,45622
1990,Nov,41304
1990,Dec,36016
1991,Jan,35592
1991,Feb,35677
1991,Mar,39864
1991,Apr,41761
1991,May,50380
1991,Jun,49129
1991,Jul,55066
1991,Aug,55671
1991,Sep,49058
1991,Oct,44503
1991,Nov,42145
1991,Dec,38698
1992,Jan,38963
1992,Feb,38690
1992,Mar,39792
1992,Apr,42545
1992,May,50145
1992,Jun,58164
1992,Jul,59035
1992,Aug,59408
1992,Sep,55988
1992,Oct,47321
1992,Nov,42269
1992,Dec,39606
1993,Jan,37059
1993,Feb,37963
1993,Mar,31043
1993,Apr,41712
1993,May,50366
1993,Jun,56977
1993,Jul,56807
1993,Aug,54634
1993,Sep,51367
1993,Oct,48073
1993,Nov,46251
1993,Dec,43736
1994,Jan,39975
1994,Feb,40478
1994,Mar,46895
1994,Apr,46147
1994,May,55011
1994,Jun,57799
1994,Jul,62450
1994,Aug,63896
1994,Sep,57784
1994,Oct,53231
1994,Nov,50354
1994,Dec,38410
1995,Jan,41600
1995,Feb,41471
1995,Mar,46287
1995,Apr,49013
1995,May,56624
1995,Jun,61739
1995,Jul,66600
1995,Aug,60054
